OMP_ST:71246_!_Escherichia coli K-12 JW0054
OMP_ST:71247_!_Escherichia coli K-12 JW0055
OMP_ST:71248_!_Escherichia coli K-12 JW0057
OMP_ST:71249_!_Escherichia coli K-12 JW0058
OMP_ST:71250_!_Escherichia coli K-12 JW0059
OMP_ST:71251_!_Escherichia coli K-12 JW0063
OMP_ST:71252_!_Escherichia coli K-12 JW0065
OMP_ST:71253_!_Escherichia coli K-12 JW0066
OMP_ST:71254_!_Escherichia coli K-12 JW0067
OMP_ST:71255_!_Escherichia coli K-12 JW0068
OMP_ST:71256_!_Escherichia coli K-12 JW0069
OMP_ST:71257_!_Escherichia coli K-12 JW0070
OMP_ST:71258_!_Escherichia coli K-12 JW0071
OMP_ST:71259_!_Escherichia coli K-12 JW0073
OMP_ST:71260_!_Escherichia coli K-12 JW0075
OMP_ST:71261_!_Escherichia coli K-12 JW0076
OMP_ST:71262_!_Escherichia coli K-12 JW0077
OMP_ST:71263_!_Escherichia coli K-12 JW0078
OMP_ST:71264_!_Escherichia coli K-12 JW0079
OMP_ST:71265_!_Escherichia coli K-12 JW0080
OMP_ST:71266_!_Escherichia coli K-12 JW0090
OMP_ST:71267_!_Escherichia coli K-12 JW0097
OMP_ST:71268_!_Escherichia coli K-12 JW0099
OMP_ST:71269_!_Escherichia coli K-12 JW0101
OMP_ST:71270_!_Escherichia coli K-12 JW0102
OMP_ST:71271_!_Escherichia coli K-12 JW0103
OMP_ST:71272_!_Escherichia coli K-12 JW0104
OMP_ST:71273_!_Escherichia coli K-12 JW0105
OMP_ST:71274_!_Escherichia coli K-12 JW0106
OMP_ST:71275_!_Escherichia coli K-12 JW0107
OMP_ST:71276_!_Escherichia coli K-12 JW0108
OMP_ST:71277_!_Escherichia coli K-12 JW0109
OMP_ST:71278_!_Escherichia coli K-12 JW0110
OMP_ST:71279_!_Escherichia coli K-12 JW0111
OMP_ST:71280_!_Escherichia coli K-12 JW0113
OMP_ST:71281_!_Escherichia coli K-12 JW0114
OMP_ST:71282_!_Escherichia coli K-12 JW0115
OMP_ST:71283_!_Escherichia coli K-12 JW0116
OMP_ST:71284_!_Escherichia coli K-12 JW0117
OMP_ST:71285_!_Escherichia coli K-12 JW0118
OMP_ST:71286_!_Escherichia coli K-12 JW0119
OMP_ST:71287_!_Escherichia coli K-12 JW0120
OMP_ST:71288_!_Escherichia coli K-12 JW0123
OMP_ST:71289_!_Escherichia coli K-12 JW0124
OMP_ST:71290_!_Escherichia coli K-12 JW0125
OMP_ST:71291_!_Escherichia coli K-12 JW0126
OMP_ST:71292_!_Escherichia coli K-12 JW0127
OMP_ST:71293_!_Escherichia coli K-12 JW0130
OMP_ST:71294_!_Escherichia coli K-12 JW0131
OMP_ST:71295_!_Escherichia coli K-12 JW0132
OMP_ST:71296_!_Escherichia coli K-12 JW0133
OMP_ST:71297_!_Escherichia coli K-12 JW0134
OMP_ST:71298_!_Escherichia coli K-12 JW0135
OMP_ST:71299_!_Escherichia coli K-12 JW0136
OMP_ST:71300_!_Escherichia coli K-12 JW0137
OMP_ST:71301_!_Escherichia coli K-12 JW0141
OMP_ST:71302_!_Escherichia coli K-12 JW0142
OMP_ST:71303_!_Escherichia coli K-12 JW0144
OMP_ST:71304_!_Escherichia coli K-12 JW0146
OMP_ST:71305_!_Escherichia coli K-12 JW0147
OMP_ST:71306_!_Escherichia coli K-12 JW0148
OMP_ST:71307_!_Escherichia coli K-12 JW0149
OMP_ST:71308_!_Escherichia coli K-12 JW0153
OMP_ST:71309_!_Escherichia coli K-12 JW0154
OMP_ST:71310_!_Escherichia coli K-12 JW0155
OMP_ST:71311_!_Escherichia coli K-12 JW0156
OMP_ST:71312_!_Escherichia coli K-12 JW0157
OMP_ST:71313_!_Escherichia coli K-12 JW0159
OMP_ST:71314_!_Escherichia coli K-12 JW0162
OMP_ST:71315_!_Escherichia coli K-12 JW0178
OMP_ST:71316_!_Escherichia coli K-12 JW0181
OMP_ST:71317_!_Escherichia coli K-12 JW0182
OMP_ST:71318_!_Escherichia coli K-12 JW0186
OMP_ST:71319_!_Escherichia coli K-12 JW0187
OMP_ST:71320_!_Escherichia coli K-12 JW0188
OMP_ST:71321_!_Escherichia coli K-12 JW0191
OMP_ST:71322_!_Escherichia coli K-12 JW0192
OMP_ST:71323_!_Escherichia coli K-12 JW0193
OMP_ST:71324_!_Escherichia coli K-12 JW0194
OMP_ST:71325_!_Escherichia coli K-12 JW0195
OMP_ST:71326_!_Escherichia coli K-12 JW0197
OMP_ST:71327_!_Escherichia coli K-12 JW0198
OMP_ST:71328_!_Escherichia coli K-12 JW0200
OMP_ST:71329_!_Escherichia coli K-12 JW0202
OMP_ST:71330_!_Escherichia coli K-12 JW0203
OMP_ST:71331_!_Escherichia coli K-12 JW0204
OMP_ST:71332_!_Escherichia coli K-12 JW0205
OMP_ST:71333_!_Escherichia coli K-12 JW0206
OMP_ST:71334_!_Escherichia coli K-12 JW0207
OMP_ST:71335_!_Escherichia coli K-12 JW0210
OMP_ST:71336_!_Escherichia coli K-12 JW0213
OMP_ST:71337_!_Escherichia coli K-12 JW0214
OMP_ST:71338_!_Escherichia coli K-12 JW0215
OMP_ST:71339_!_Escherichia coli K-12 JW0216
OMP_ST:71340_!_Escherichia coli K-12 JW0217
OMP_ST:71341_!_Escherichia coli K-12 JW0218
OMP_ST:71342_!_Escherichia coli K-12 JW0221
OMP_ST:71343_!_Escherichia coli K-12 JW0222
OMP_ST:71344_!_Escherichia coli K-12 JW0223
OMP_ST:71345_!_Escherichia coli K-12 JW0224
OMP_ST:71346_!_Escherichia coli K-12 JW0225
OMP_ST:71347_!_Escherichia coli K-12 JW0226
OMP_ST:71348_!_Escherichia coli K-12 JW0227
OMP_ST:71349_!_Escherichia coli K-12 JW0228
OMP_ST:71350_!_Escherichia coli K-12 JW0229
OMP_ST:71351_!_Escherichia coli K-12 JW0230
OMP_ST:71352_!_Escherichia coli K-12 JW0231
OMP_ST:71353_!_Escherichia coli K-12 JW0232
OMP_ST:71354_!_Escherichia coli K-12 JW0233
OMP_ST:71355_!_Escherichia coli K-12 JW0234
OMP_ST:71356_!_Escherichia coli K-12 JW0235
OMP_ST:71357_!_Escherichia coli K-12 JW0236
OMP_ST:71358_!_Escherichia coli K-12 JW0239
OMP_ST:71359_!_Escherichia coli K-12 JW0243
OMP_ST:71360_!_Escherichia coli K-12 JW0244
OMP_ST:71361_!_Escherichia coli K-12 JW0254
OMP_ST:71362_!_Escherichia coli K-12 JW0255
OMP_ST:71363_!_Escherichia coli K-12 JW0258
OMP_ST:71364_!_Escherichia coli K-12 JW0259
OMP_ST:71365_!_Escherichia coli K-12 JW0261
OMP_ST:71366_!_Escherichia coli K-12 JW0262
OMP_ST:71367_!_Escherichia coli K-12 JW0264
